OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY,DIABETES_ADJRATE,DIABETES_L95CI,DIABETES_U95CI,DIABETES_STATEADJRATE,DIABETES_SL95CI,DIABETES_SU95CI,DIABETES_DISPLAY,HD_ADJRATE,HD_L95CI,HD_U95CI,HD_STATEADJRATE,HD_SL95CI,HD_SU95CI,HD_DISPLAY,LWB_ADJRATE,LWB_L95CI,LWB_U95CI,LWB_STATEADJRATE,LWB_SL95CI,LWB_SU95CI,LWB_DISPLAY,TF_ADJRATE,TF_L95CI,TF_U95CI,TF_STATEADJRATE,TF_SL95CI,TF_SU95CI,TF_DISPLAY,MVA_ADJRATE,MVA_L95CI,MVA_U95CI,MVA_STATEADJRATE,MVA_SL95CI,MVA_SU95CI,MVA_DISPLAY,SUICIDE_ADJRATE,SUICIDE_L95CI,SUICIDE_U95CI,SUICIDE_STATEADJRATE,SUICIDE_SL95CI,SUICIDE_SU95CI,SUICIDE_DISPLAY,INFLUENZA_ADJRATE,INFLUENZA_L95CI,INFLUENZA_U95CI,INFLUENZA_STATEADJRATE,INFLUENZA_SL95CI,INFLUENZA_SU95CI,INFLUENZA_DISPLAY,POD_DEATH_ADJRATE,POD_DEATH_L95CI,POD_DEATH_U95CI,POD_DEATH_STATEADJRATE,POD_DEATH_STATEL95CI,POD_DEATH_STATEU95CI,POD_DISPLAY
291,08001009501,659.25,532,786.51,619.91,617,622.82,"Census Tract 95.01, Adams County, Colorado",ADAMS,Not Different Than State Average,1697.01,1494.1,1899.92,1281.52,1277.48,1285.56,Higher Than State Average,151.62,83.15,220.08,127.12,125.8,128.44,Not Different Than State Average,10.99,6.45,15.53,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,20.67,4.45,48.77,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,49.93,21.43,90.3,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
292,08001009502,1027.7,894.19,1161.21,619.91,617,622.82,"Census Tract 95.02, Adams County, Colorado",ADAMS,Higher Than State Average,2159.74,1963.83,2355.64,1281.52,1277.48,1285.56,Higher Than State Average,172.48,108.48,236.49,127.12,125.8,128.44,Not Different Than State Average,7.73,5.2,10.26,7.43,7.34,7.52,Not Different Than State Average,17.02,7.32,30.67,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,20.52,6.58,42.17,20.68,20.15,21.22,Not Different Than State Average,108.61,62.56,154.67,54.87,54,55.75,Higher Than State Average,15.21,3.75,34.39,9.25,8.89,9.6,Not Different Than State Average
293,08001009309,552.15,451.68,652.62,619.91,617,622.82,"Census Tract 93.09, Adams County, Colorado",ADAMS,Not Different Than State Average,1616.42,1457.95,1774.89,1281.52,1277.48,1285.56,Higher Than State Average,137.02,87.18,186.86,127.12,125.8,128.44,Not Different Than State Average,5.53,2.72,8.35,7.43,7.34,7.52,Not Different Than State Average,28.57,7.55,62.5,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,12.87,2.15,32.58,20.68,20.15,21.22,Not Different Than State Average,66.18,34.09,98.28,54.87,54,55.75,Not Different Than State Average,12.87,2.15,32.58,9.25,8.89,9.6,Not Different Than State Average
294,08001009310,786.99,682.34,891.64,619.91,617,622.82,"Census Tract 93.10, Adams County, Colorado",ADAMS,Higher Than State Average,1985.32,1817.94,2152.71,1281.52,1277.48,1285.56,Higher Than State Average,91.83,57.4,126.26,127.12,125.8,128.44,Not Different Than State Average,7.41,5.08,9.74,7.43,7.34,7.52,Not Different Than State Average,11.18,5.09,19.6,7.01,6.78,7.24,Not Different Than State Average,9.29,1.69,23,10.87,10.49,11.26,Not Different Than State Average,23.8,9.8,43.9,20.68,20.15,21.22,Not Different Than State Average,36.64,18.54,60.85,54.87,54,55.75,Not Different Than State Average,15.63,4.87,32.5,9.25,8.89,9.6,Not Different Than State Average
295,08001009319,1764.95,1484.96,2044.94,619.91,617,622.82,"Census Tract 93.19, Adams County, Colorado",ADAMS,Higher Than State Average,5608.47,5186,6030.94,1281.52,1277.48,1285.56,Higher Than State Average,781.71,549.83,1013.59,127.12,125.8,128.44,Higher Than State Average,8.37,4.56,12.19,7.43,7.34,7.52,Not Different Than State Average,94.12,41.65,164.86,7.01,6.78,7.24,Higher Than State Average,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,60.01,25.27,109.54,20.68,20.15,21.22,Higher Than State Average,159.03,51.76,266.31,54.87,54,55.75,Not Different Than State Average,24.03,4.76,58.09,9.25,8.89,9.6,Not Different Than State Average
296,08069001110,841.49,687.72,995.26,619.91,617,622.82,"Census Tract 11.10, Larimer County, Colorado",LARIMER,Higher Than State Average,1404.78,1210.55,1599,1281.52,1277.48,1285.56,Not Different Than State Average,118.73,49.38,188.08,127.12,125.8,128.44,Not Different Than State Average,5.81,2.82,9.79,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,6.03,0.36,18.56,20.68,20.15,21.22,Lower Than State Average,84.2,53.63,121.64,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
297,08069001008,461.98,284.81,639.16,619.91,617,622.82,"Census Tract 10.08, Larimer County, Colorado",LARIMER,Not Different Than State Average,794.31,538.05,1050.57,1281.52,1277.48,1285.56,Lower Than State Average,239.42,152.69,345.51,127.12,125.8,128.44,Higher Than State Average,5.8,1.56,12.48,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,109.13,53.71,183.97,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
298,08069001004,1416.6,1231.41,1601.78,619.91,617,622.82,"Census Tract 10.04, Larimer County, Colorado",LARIMER,Higher Than State Average,1232.48,1069.26,1395.7,1281.52,1277.48,1285.56,Not Different Than State Average,115.79,69.84,161.73,127.12,125.8,128.44,Not Different Than State Average,4.19,1.69,7.75,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,24.33,6.78,52.72,20.68,20.15,21.22,Not Different Than State Average,75.1,33.78,116.41,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
299,08069001003,1132.28,995.35,1269.21,619.91,617,622.82,"Census Tract 10.03, Larimer County, Colorado",LARIMER,Higher Than State Average,2033.62,1847.75,2219.5,1281.52,1277.48,1285.56,Higher Than State Average,131.12,81.7,180.55,127.12,125.8,128.44,Not Different Than State Average,7.44,4.63,10.25,7.43,7.34,7.52,Not Different Than State Average,12.5,3.97,25.71,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,28.23,11.77,51.77,20.68,20.15,21.22,Not Different Than State Average,54.32,24.37,84.27,54.87,54,55.75,Not Different Than State Average,19.03,6.15,38.99,9.25,8.89,9.6,Not Different Than State Average
300,08069000902,496.92,391.46,602.37,619.91,617,622.82,"Census Tract 9.02, Larimer County, Colorado",LARIMER,Lower Than State Average,984.15,827.56,1140.74,1281.52,1277.48,1285.56,Lower Than State Average,202.28,111.81,292.74,127.12,125.8,128.44,Not Different Than State Average,5.03,2.19,8.96,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,62.69,32.46,102.77,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
301,08069001603,1113.3,970.67,1255.93,619.91,617,622.82,"Census Tract 16.03, Larimer County, Colorado",LARIMER,Higher Than State Average,1935.25,1726.53,2143.97,1281.52,1277.48,1285.56,Higher Than State Average,200.66,112.4,288.91,127.12,125.8,128.44,Not Different Than State Average,5.23,2.88,7.59,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,18.48,6.05,37.66,10.87,10.49,11.26,Not Different Than State Average,18.72,6.19,38.01,20.68,20.15,21.22,Not Different Than State Average,87.15,30.39,143.92,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
302,08069000901,828.5,717.27,939.74,619.91,617,622.82,"Census Tract 9.01, Larimer County, Colorado",LARIMER,Higher Than State Average,1682.62,1529.81,1835.43,1281.52,1277.48,1285.56,Higher Than State Average,117.4,81.18,153.62,127.12,125.8,128.44,Not Different Than State Average,6.72,3.72,9.71,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,9.03,1.5,22.91,10.87,10.49,11.26,Not Different Than State Average,25.53,10.7,46.71,20.68,20.15,21.22,Not Different Than State Average,85.94,54.16,117.73,54.87,54,55.75,Not Different Than State Average,9.03,1.5,22.91,9.25,8.89,9.6,Not Different Than State Average
303,08069001304,1432.35,1223.2,1641.51,619.91,617,622.82,"Census Tract 13.04, Larimer County, Colorado",LARIMER,Higher Than State Average,2635.04,2358.85,2911.23,1281.52,1277.48,1285.56,Higher Than State Average,179.58,110.34,248.83,127.12,125.8,128.44,Not Different Than State Average,8.99,4.92,13.07,7.43,7.34,7.52,Not Different Than State Average,4.8,0.91,11.73,7.01,6.78,7.24,Not Different Than State Average,31.79,9.24,67.82,10.87,10.49,11.26,Not Different Than State Average,25.67,6.09,58.73,20.68,20.15,21.22,Not Different Than State Average,68.42,32.2,118.11,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
304,08069000700,363.19,223.96,502.41,619.91,617,622.82,"Census Tract 7, Larimer County, Colorado",LARIMER,Lower Than State Average,1539.01,1192.24,1885.79,1281.52,1277.48,1285.56,Not Different Than State Average,227.36,79.53,375.2,127.12,125.8,128.44,Not Different Than State Average,9.09,4.46,15.14,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
305,08001009316,770.06,675.08,865.05,619.91,617,622.82,"Census Tract 93.16, Adams County, Colorado",ADAMS,Higher Than State Average,2356.05,2188.45,2523.65,1281.52,1277.48,1285.56,Higher Than State Average,116.39,79.94,152.83,127.12,125.8,128.44,Not Different Than State Average,5.18,3.38,6.99,7.43,7.34,7.52,Lower Than State Average,17.49,10.4,24.58,7.01,6.78,7.24,Higher Than State Average,23.5,10.46,41.75,10.87,10.49,11.26,Not Different Than State Average,10.64,2.72,23.78,20.68,20.15,21.22,Not Different Than State Average,50.9,26.95,74.86,54.87,54,55.75,Not Different Than State Average,12.66,3.78,26.75,9.25,8.89,9.6,Not Different Than State Average
306,08001009603,879.6,756.78,1002.42,619.91,617,622.82,"Census Tract 96.03, Adams County, Colorado",ADAMS,Higher Than State Average,1782.11,1596.37,1967.86,1281.52,1277.48,1285.56,Higher Than State Average,139.47,88.91,190.02,127.12,125.8,128.44,Not Different Than State Average,8.62,6.16,11.08,7.43,7.34,7.52,Not Different Than State Average,13.56,5.94,21.18,7.01,6.78,7.24,Not Different Than State Average,19.99,7.41,38.7,10.87,10.49,11.26,Not Different Than State Average,17.94,6.18,35.83,20.68,20.15,21.22,Not Different Than State Average,119.16,71.31,167.01,54.87,54,55.75,Higher Than State Average,13.58,3.74,29.53,9.25,8.89,9.6,Not Different Than State Average
307,08001009321,1053.36,876.08,1230.64,619.91,617,622.82,"Census Tract 93.21, Adams County, Colorado",ADAMS,Higher Than State Average,2881.51,2584.86,3178.16,1281.52,1277.48,1285.56,Higher Than State Average,235.93,120.25,351.6,127.12,125.8,128.44,Not Different Than State Average,7.93,5.11,10.75,7.43,7.34,7.52,Not Different Than State Average,9.03,3.59,16.9,7.01,6.78,7.24,Not Different Than State Average,26.21,8.62,53.32,10.87,10.49,11.26,Not Different Than State Average,21.73,6.15,46.85,20.68,20.15,21.22,Not Different Than State Average,86.8,40.58,133.02,54.87,54,55.75,Not Different Than State Average,10.27,1.04,29.02,9.25,8.89,9.6,Not Different Than State Average
308,08001009407,956.23,780.71,1131.76,619.91,617,622.82,"Census Tract 94.07, Adams County, Colorado",ADAMS,Higher Than State Average,2413.27,2145.82,2680.73,1281.52,1277.48,1285.56,Higher Than State Average,281.85,137.82,425.89,127.12,125.8,128.44,Higher Than State Average,7.34,4.77,9.91,7.43,7.34,7.52,Not Different Than State Average,14.29,6.86,21.71,7.01,6.78,7.24,Not Different Than State Average,25.94,9.98,49.38,10.87,10.49,11.26,Not Different Than State Average,28.75,11.75,53.24,20.68,20.15,21.22,Not Different Than State Average,29.61,12.3,54.39,54.87,54,55.75,Not Different Than State Average,19.17,5.97,39.84,9.25,8.89,9.6,Not Different Than State Average
309,08001009323,831.84,679.95,983.73,619.91,617,622.82,"Census Tract 93.23, Adams County, Colorado",ADAMS,Higher Than State Average,1872.41,1612.8,2132.02,1281.52,1277.48,1285.56,Higher Than State Average,154.52,69.22,239.83,127.12,125.8,128.44,Not Different Than State Average,5.9,3.1,8.71,7.43,7.34,7.52,Not Different Than State Average,10.17,1.93,24.78,7.01,6.78,7.24,Not Different Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,23.8,6.97,50.62,20.68,20.15,21.22,Not Different Than State Average,68.08,36.17,109.99,54.87,54,55.75,Not Different Than State Average,23.16,6.63,49.7,9.25,8.89,9.6,Not Different Than State Average
310,08001009411,576.68,438.81,714.55,619.91,617,622.82,"Census Tract 94.11, Adams County, Colorado",ADAMS,Not Different Than State Average,820.64,678.46,962.83,1281.52,1277.48,1285.56,Lower Than State Average,72.64,27.5,117.78,127.12,125.8,128.44,Lower Than State Average,3.12,1,6.37,7.43,7.34,7.52,Lower Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,14.96,1.76,41.08,20.68,20.15,21.22,Not Different Than State Average,27.78,7.45,61.02,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
311,08001009307,1011.89,857.59,1166.18,619.91,617,622.82,"Census Tract 93.07, Adams County, Colorado",ADAMS,Higher Than State Average,1918.78,1694.19,2143.36,1281.52,1277.48,1285.56,Higher Than State Average,179.45,104.63,254.27,127.12,125.8,128.44,Not Different Than State Average,4.63,2.07,7.19,7.43,7.34,7.52,Lower Than State Average,34.04,14.72,60.97,7.01,6.78,7.24,Higher Than State Average,,,,10.87,10.49,11.26,No Events or Data Suppressed,28.57,8.98,59.17,20.68,20.15,21.22,Not Different Than State Average,89.54,38.39,140.69,54.87,54,55.75,Not Different Than State Average,28.05,8.69,58.43,9.25,8.89,9.6,Not Different Than State Average
312,08069000600,119.8,85.2,160.28,619.91,617,622.82,"Census Tract 6, Larimer County, Colorado",LARIMER,Lower Than State Average,631.38,548.33,720.25,1281.52,1277.48,1285.56,Lower Than State Average,,,,127.12,125.8,128.44,No Events or Data Suppressed,14,5.88,24.87,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,,,,54.87,54,55.75,No Events or Data Suppressed,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
313,08069001009,737.26,640.97,833.55,619.91,617,622.82,"Census Tract 10.09, Larimer County, Colorado",LARIMER,Higher Than State Average,1169.11,1054.96,1283.25,1281.52,1277.48,1285.56,Not Different Than State Average,115.74,81.67,149.81,127.12,125.8,128.44,Not Different Than State Average,4.5,2.11,6.89,7.43,7.34,7.52,Lower Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,9.11,1.65,22.59,10.87,10.49,11.26,Not Different Than State Average,20.05,7.52,38.59,20.68,20.15,21.22,Not Different Than State Average,60.95,34.13,87.78,54.87,54,55.75,Not Different Than State Average,12.75,3.37,28.15,9.25,8.89,9.6,Not Different Than State Average
314,08069000100,1338.1,1120.81,1555.39,619.91,617,622.82,"Census Tract 1, Larimer County, Colorado",LARIMER,Higher Than State Average,2483.7,2204.95,2762.46,1281.52,1277.48,1285.56,Higher Than State Average,120.56,66.96,174.15,127.12,125.8,128.44,Not Different Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,24.77,5.65,57.39,10.87,10.49,11.26,Not Different Than State Average,44.32,16.47,85.67,20.68,20.15,21.22,Not Different Than State Average,56.24,24.02,101.96,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
315,08069002300,597.35,469,725.7,619.91,617,622.82,"Census Tract 23, Larimer County, Colorado",LARIMER,Not Different Than State Average,642.65,521.47,763.83,1281.52,1277.48,1285.56,Lower Than State Average,147.12,78.33,215.91,127.12,125.8,128.44,Not Different Than State Average,8.89,4.09,13.69,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,43.48,18.12,79.78,20.68,20.15,21.22,Not Different Than State Average,35.19,12.92,68.39,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
316,08069001602,551.49,464.63,638.35,619.91,617,622.82,"Census Tract 16.02, Larimer County, Colorado",LARIMER,Not Different Than State Average,895.69,788.03,1003.36,1281.52,1277.48,1285.56,Lower Than State Average,88.67,55.83,121.51,127.12,125.8,128.44,Lower Than State Average,9.85,6.32,13.38,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,61.01,32.68,89.33,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
317,08069001306,1579.1,1340.33,1817.88,619.91,617,622.82,"Census Tract 13.06, Larimer County, Colorado",LARIMER,Higher Than State Average,3959.46,3538.94,4379.99,1281.52,1277.48,1285.56,Higher Than State Average,176.72,72.98,280.46,127.12,125.8,128.44,Not Different Than State Average,9.05,5.45,12.66,7.43,7.34,7.52,Not Different Than State Average,32.26,10.34,65.74,7.01,6.78,7.24,Higher Than State Average,19.57,3.65,48.13,10.87,10.49,11.26,Not Different Than State Average,67.64,32.61,115.3,20.68,20.15,21.22,Higher Than State Average,80,41.35,131.28,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
318,08069001305,2066.14,1749.26,2383.02,619.91,617,622.82,"Census Tract 13.05, Larimer County, Colorado",LARIMER,Higher Than State Average,3136.04,2724.29,3547.79,1281.52,1277.48,1285.56,Higher Than State Average,246.54,84.49,408.6,127.12,125.8,128.44,Not Different Than State Average,9.41,5.38,13.43,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,28.09,7.54,61.68,20.68,20.15,21.22,Not Different Than State Average,100.1,40.61,159.59,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
319,08059010209,674.41,579.67,769.16,619.91,617,622.82,"Census Tract 102.09, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,1318.29,1196.54,1440.04,1281.52,1277.48,1285.56,Not Different Than State Average,129.02,86.08,171.96,127.12,125.8,128.44,Not Different Than State Average,7.55,4.91,10.19,7.43,7.34,7.52,Not Different Than State Average,8.82,1.67,21.52,7.01,6.78,7.24,Not Different Than State Average,8.71,1.58,21.58,10.87,10.49,11.26,Not Different Than State Average,15.57,5.07,31.81,20.68,20.15,21.22,Not Different Than State Average,74.81,45.59,104.02,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
320,08059010305,994.57,842.63,1146.51,619.91,617,622.82,"Census Tract 103.05, Jefferson County, Colorado",JEFFERSON,Higher Than State Average,1826.96,1631.91,2022,1281.52,1277.48,1285.56,Higher Than State Average,159.73,101,218.46,127.12,125.8,128.44,Not Different Than State Average,7.6,4.32,10.88,7.43,7.34,7.52,Not Different Than State Average,17.02,4.47,37.46,7.01,6.78,7.24,Not Different Than State Average,0,0,0,10.87,10.49,11.26,No Events or Data Suppressed,32.35,11.5,63.75,20.68,20.15,21.22,Not Different Than State Average,76.47,34.15,118.8,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
321,08059009832,632.17,465.39,798.95,619.91,617,622.82,"Census Tract 98.32, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,1477.05,1245.22,1708.87,1281.52,1277.48,1285.56,Not Different Than State Average,299.54,168.09,430.99,127.12,125.8,128.44,Higher Than State Average,5.8,2.53,10.29,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,16.12,1.75,44.96,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,30.87,8.21,68,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
322,08059009833,697.11,588.92,805.29,619.91,617,622.82,"Census Tract 98.33, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,1347.69,1200.34,1495.03,1281.52,1277.48,1285.56,Not Different Than State Average,211.05,141.55,280.54,127.12,125.8,128.44,Higher Than State Average,5.5,2.96,8.04,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,16.22,4.66,34.75,10.87,10.49,11.26,Not Different Than State Average,20.95,7.34,41.54,20.68,20.15,21.22,Not Different Than State Average,43.18,22.13,71.21,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
323,08059009834,699.15,586.48,811.82,619.91,617,622.82,"Census Tract 98.34, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,926.97,807.3,1046.65,1281.52,1277.48,1285.56,Lower Than State Average,130.66,84.57,176.75,127.12,125.8,128.44,Not Different Than State Average,6.79,3.47,10.1,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,12.01,1.87,30.95,10.87,10.49,11.26,Not Different Than State Average,21.52,6.46,45.38,20.68,20.15,21.22,Not Different Than State Average,20.45,5.88,43.82,54.87,54,55.75,Lower Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
324,08059009831,470.53,326.62,614.43,619.91,617,622.82,"Census Tract 98.31, Jefferson County, Colorado",JEFFERSON,Lower Than State Average,752.71,568.21,937.21,1281.52,1277.48,1285.56,Lower Than State Average,0,0,0,127.12,125.8,128.44,No Events or Data Suppressed,7.23,3.29,11.17,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,22.02,3.95,54.72,20.68,20.15,21.22,Not Different Than State Average,0,0,0,54.87,54,55.75,No Events or Data Suppressed,31.1,8.25,68.59,9.25,8.89,9.6,Not Different Than State Average
325,08059010210,527.41,427.4,627.41,619.91,617,622.82,"Census Tract 102.10, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,1082.27,956.52,1208.02,1281.52,1277.48,1285.56,Lower Than State Average,139.16,98.37,179.95,127.12,125.8,128.44,Not Different Than State Average,7.41,3.37,11.44,7.43,7.34,7.52,Not Different Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,14.45,2.28,37.1,20.68,20.15,21.22,Not Different Than State Average,30.46,10.43,60.97,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
326,08059010206,762.06,629.64,894.49,619.91,617,622.82,"Census Tract 102.06, Jefferson County, Colorado",JEFFERSON,Higher Than State Average,1577.84,1387.7,1767.98,1281.52,1277.48,1285.56,Higher Than State Average,363.71,248.96,478.47,127.12,125.8,128.44,Higher Than State Average,10.99,6.56,15.43,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,16.28,3.27,39.18,20.68,20.15,21.22,Not Different Than State Average,105.52,47.03,164.01,54.87,54,55.75,Not Different Than State Average,19.98,5.04,44.82,9.25,8.89,9.6,Not Different Than State Average
327,08059009835,613.82,495.29,732.36,619.91,617,622.82,"Census Tract 98.35, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,625.86,527.17,724.56,1281.52,1277.48,1285.56,Lower Than State Average,124.06,72.82,175.29,127.12,125.8,128.44,Not Different Than State Average,7.78,3.87,11.69,7.43,7.34,7.52,Not Different Than State Average,,,,7.01,6.78,7.24,No Events or Data Suppressed,11.84,1.38,32.58,10.87,10.49,11.26,Not Different Than State Average,,,,20.68,20.15,21.22,No Events or Data Suppressed,36.06,13.98,68.4,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
328,08059009828,755.27,629.4,881.14,619.91,617,622.82,"Census Tract 98.28, Jefferson County, Colorado",JEFFERSON,Higher Than State Average,1052.42,928.67,1176.17,1281.52,1277.48,1285.56,Lower Than State Average,154.05,120.16,187.95,127.12,125.8,128.44,Not Different Than State Average,3.91,1.8,6.8,7.43,7.34,7.52,Lower Than State Average,0,0,0,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,28.74,12.54,51.55,20.68,20.15,21.22,Not Different Than State Average,65.94,28.88,103.01,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
329,08059010205,695.9,533.41,858.39,619.91,617,622.82,"Census Tract 102.05, Jefferson County, Colorado",JEFFERSON,Not Different Than State Average,1203.96,1044.97,1362.95,1281.52,1277.48,1285.56,Not Different Than State Average,141.63,93.64,189.63,127.12,125.8,128.44,Not Different Than State Average,,,,7.43,7.34,7.52,No Events or Data Suppressed,,,,7.01,6.78,7.24,No Events or Data Suppressed,,,,10.87,10.49,11.26,No Events or Data Suppressed,,,,20.68,20.15,21.22,No Events or Data Suppressed,53.89,20.84,86.93,54.87,54,55.75,Not Different Than State Average,,,,9.25,8.89,9.6,No Events or Data Suppressed
330,08059010303,949.35,825.85,1072.84,619.91,617,622.82,"Census Tract 103.03, Jefferson County, Colorado",JEFFERSON,Higher Than State Average,1055.57,943.73,1167.41,1281.52,1277.48,1285.56,Lower Than State Average,117.93,82.9,152.96,127.12,125.8,128.44,Not Different Than State Average,5.78,3.03,8.52,7.43,7.34,7.52,Not Different Than State Average,5.5,1.04,13.45,7.01,6.78,7.24,Not Different Than State Average,9.11,1.35,23.78,10.87,10.49,11.26,Not Different Than State Average,15.44,4.29,33.49,20.68,20.15,21.22,Not Different Than State Average,63.66,33.7,93.62,54.87,54,55.75,Not Different Than State Average,0,0,0,9.25,8.89,9.6,No Events or Data Suppressed
